Palabra,Frecuencia
store,365
service,358
restaurant,294
supplier,246
shop,176
school,126
dealer,97
club,93
company,88
center,88
equipment,82
repair,74
agency,73
office,72
manufacturer,70
wholesaler,66
rental,65
supply,58
contractor,49
church,48
department,46
food,41
home,36
public,35
water,35
clinic,34
consultant,33
services,32
station,31
auto,30
care,30
engineer,29
furniture,28
car,28
health,27
bar,27
farm,27
park,26
area,26
machine,26
court,25
museum,25
house,25
medical,24
instructor,24
plant,24
association,24
sports,24
&,23
organization,23
building,22
market,22
estate,21
attorney,21
's,20
goods,20
clothing,20
exporter,19
products,19
used,18
construction,18
hall,18
metal,18
facility,17
real,17
city,17
state,17
cleaning,16
surgeon,16
swimming,16
gas,16
music,16
video,16
motorcycle,15
training,15
medicine,15
hospital,15
industrial,15
theater,15
studio,15
builder,15
computer,15
housing,15
japanese,15
glass,14
insurance,14
pool,14
bank,14
art,14
pet,14
fishing,14
parts,13
business,13
air,13
golf,13
government,13
designer,13
chinese,13
security,12
electronics,12
physician,12
field,12
oil,12
room,12
college,12
wholesale,12
grocery,12
agricultural,12
tour,12
book,12
dance,12
municipal,12
hair,11
dental,11
beauty,11
massage,11
spa,11
emergency,11
system,11
centre,11
mobile,11
management,11
vehicle,11
arts,11
boat,11
accessories,11
development,11
pediatric,11
social,11
parking,11
plastic,11
fire,11
education,11
design,11
steel,11
military,11
class,11
transportation,10
electrical,10
truck,10
storage,10
natural,10
tax,10
wedding,10
horse,10
maker,10
cafe,10
ice,10
hot,10
mill,10
american,10
police,10
private,10
fish,10
removal,9
treatment,9
delivery,9
apartment,9
bus,9
trailer,9
broker,9
coffee,9
jewelry,9
family,9
commercial,9
garden,9
outdoor,9
hotel,9
program,9
seafood,9
testing,9
high,9
dog,9
animal,9
university,9
tea,9
game,9
airport,9
indian,9
tennis,9
printing,9
energy,9
language,9
leather,9
childrens,9
train,9
industry,9
faculty,9
window,8
ski,8
therapist,8
employment,8
children,8
firm,8
civil,8
door,8
bicycle,8
stone,8
event,8
course,8
youth,8
institute,8
protection,8
restoration,8
interior,8
law,8
community,8
lighting,8
district,8
entertainment,8
wood,8
ride,8
library,8
beach,8
town,8
machinery,8
academy,8
stop,7
general,7
practitioner,7
shipping,7
party,7
lawn,7
printer,7
movie,7
hunting,7
cooperative,7
indoor,7
installation,7
asian,7
tool,7
wine,7
utility,7
customs,7
',7
piano,7
motor,7
musical,7
rock,7
self,7
appliance,7
ticket,7
bureau,7
adult,7
vending,7
noodle,7
information,7
land,7
power,7
trade,7
model,7
tower,7
korean,6
salon,6
beverage,6
complex,6
environmental,6
safety,6
pizza,6
provider,6
materials,6
property,6
fuel,6
photo,6
lab,6
electric,6
recycling,6
place,6
warehouse,6
research,6
trainer,6
religious,6
camp,6
publisher,6
institution,6
fruit,6
production,6
bathroom,6
takeaway,6
planning,6
lot,6
federal,6
control,6
modern,6
technology,6
instrument,6
volleyball,6
defense,6
barbecue,6
kitchen,6
organic,6
amusement,6
educational,6
product,6
factory,6
marine,6
technical,6
group,6
media,6
skating,6
hockey,6
rice,6
chemical,6
track,6
works,6
national,6
african,6
paper,6
holiday,6
traditional,6
fabric,5
bakery,5
photographer,5
phone,5
moving,5
engineering,5
telecommunications,5
conditioning,5
space,5
carpet,5
meat,5
counselor,5
toy,5
union,5
audio,5
travel,5
planner,5
mountain,5
cosmetics,5
aid,5
gym,5
boarding,5
container,5
body,5
maintenance,5
card,5
dress,5
soccer,5
dairy,5
household,5
rv,5
screen,5
television,5
agent,5
vegetable,5
location,5
chicken,5
photography,5
day,5
dry,5
sauna,5
fashion,5
internet,5
shoe,5
concrete,5
range,5
software,5
advertising,5
french,5
child,5
spot,5
supermarket,5
aircraft,5
vacuum,5
license,5
finance,5
costume,5
veterans,5
history,5
agriculture,5
